SN2011ja_racs.fits SNR: 4.377
SN2011ja_racs.fits Observation Date: 2020-10-16T16:36:51
SN2016cdd_racs.fits Mean Flux: -0.017 mJy/beam
SN2016cdd_racs.fits Median Flux: -0.046 mJy/beam
SN2016cdd_racs.fits Max Flux: 2.406 mJy/beam
SN2016cdd_racs.fits Min Flux: -0.614 mJy/beam
SN2016cdd_racs.fits SNR: 8.255
SN2016cdd_racs.fits Observation Date: 2020-10-16T16:36:51

SN2016hsc_racs.fits Mean Flux: 0.023 mJy/beam
SN2016hsc_racs.fits Median Flux: -0.015 mJy/beam
SN2016hsc_racs.fits Max Flux: 2.242 mJy/beam
SN2016hsc_racs.fits Min Flux: -0.456 mJy/beam
SN2016hsc_racs.fits SNR: 8.748
SN2016hsc_racs.fits Observation Date: 2020-10-26T06:21:22
NSN3_racs.fits Mean Flux: -0.091 mJy/beam
NSN3_racs.fits Median Flux: -0.092 mJy/beam
NSN3_racs.fits Max Flux: 0.695 mJy/beam
NSN3_racs.fits Min Flux: -0.660 mJy/beam
NSN3_racs.fits SNR: 3.164
NSN3_racs.fits Observation Date: 2020-10-26T06:21:22
SN2019esa_racs.fits Mean Flux: 0.097 mJy/beam
SN2019esa_racs.fits Median Flux: 0.023 mJy/beam
SN2019esa_racs.fits Max Flux: 5.781 mJy/beam
SN2019esa_racs.fits Min Flux: -0.961 mJy/beam
SN2019esa_racs.fits SNR: 9.826
SN2019esa_racs.fits Observation Date: 2020-10-26T06:21:22
SN2016jbu_racs.fits Mean Flux: 3.513 mJy/beam
SN2016jbu_racs.fits Median Flux: 2.050 mJy/beam
SN2016jbu_racs.fits Max Flux: 45.755 mJy/beam
SN2016jbu_racs.fits Min Flux: -0.611 mJy/beam
SN2016jbu_racs.fits SNR: 8.609
SN2016jbu_racs.fits Observation Date: 2020-10-26T06:21:22
SN2015J_racs.fits Mean Flux: 0.054 mJy/beam
SN2015J_racs.fits Median Flux: 0.016 mJy/beam
SN2015J_racs.fits Max Flux: 3.303 mJy/beam
SN2015J_racs.fits Min Flux: -0.671 mJy/beam
SN2015J_racs.fits SNR: 10.220
SN2015J_racs.fits Observation Date: 2020-10-26T06:21:22
SN2015F_racs.fits Mean Flux: 3.405 mJy/beam
SN2015F_racs.fits Median Flux: 0.709 mJy/beam
SN2015F_racs.fits Max Flux: 45.755 mJy/beam
SN2015F_racs.fits Min Flux: -1.232 mJy/beam
SN2015F_racs.fits SNR: 7.910
SN2015F_racs.fits Observation Date: 2020-10-26T06:21:22
SN1999ga_racs.fits Mean Flux: 2.761 mJy/beam
SN1999ga_racs.fits Median Flux: 1.132 mJy/beam
SN1999ga_racs.fits Max Flux: 45.755 mJy/beam
SN1999ga_racs.fits Min Flux: -0.668 mJy/beam
SN1999ga_racs.fits SNR: 9.456
SN1999ga_racs.fits Observation Date: 2020-10-26T06:21:22

SN2013cg_racs.fits Mean Flux: -0.004 mJy/beam
SN2013cg_racs.fits Median Flux: -0.014 mJy/beam
SN2013cg_racs.fits Max Flux: 0.533 mJy/beam
SN2013cg_racs.fits Min Flux: -0.629 mJy/beam
SN2013cg_racs.fits SNR: 3.276
SN2013cg_racs.fits Observation Date: 2020-10-16T17:34:02
SN2020ukx_racs.fits Mean Flux: 0.048 mJy/beam
SN2020ukx_racs.fits Median Flux: 0.022 mJy/beam
SN2020ukx_racs.fits Max Flux: 1.274 mJy/beam
SN2020ukx_racs.fits Min Flux: -0.734 mJy/beam
SN2020ukx_racs.fits SNR: 4.183
SN2020ukx_racs.fits Observation Date: 2020-10-16T17:34:02

SN2012hn_racs.fits Mean Flux: -0.178 mJy/beam
